Year,Top_1percent_average_income,Top_point1percent_average_income,Bottom_90percent_average_income
1917,299510.85,5668355.48,11291.16
1918,255830.08,3943241.32,10755.19
1919,250311.52,3502418.54,10607.71
1920,203412.5,2351692.38,9675.73
1921,192046.68,2096611.6,7880.14
1922,228322.96,2815891.15,8883.64
1923,233686.49,2730468.32,10290.19
1924,251290.62,3093734.74,9709.17
1925,273786.13,3647429.38,9648.94
1926,283202.71,3991834.18,9771.42
1927,295857.95,4368655.37,9738.32
1928,316935.2,5216008.55,9685.99
1929,310520.02,5067651.74,10535.73
1930,250955.81,3650236.2,9665.44
1931,211721.16,2876097.68,8564.49
1932,180509.94,2246668.13,6958.26
1933,179189.19,2323091.83,6940.11
1934,198118.29,2399533.04,7608.36
1935,211282.85,2631299.17,8503.15
1936,261775.05,3315910.28,9107.71
1937,256009.98,3136682.22,9796.1
1938,210761.49,2384527.79,9062.17
1939,234725.93,2655219.86,9391.78
1940,251303.65,2833497.71,9862.43
1941,280170.31,3041121.82,12233.96
1942,280005.44,2867650.47,15550.7
1943,288015.02,2439288.36,18761.34
1944,261146.72,2289884.46,18846.77
1945,268535.41,2049366.78,18152.53
1946,287133.24,2236986.68,17734.25
1947,258231.02,2128526.06,17545.39
1948,270437.49,2288908.93,17671.92
1949,259389.28,2261717.79,17440.2
1950,290619.77,2115431.89,18797.2
1951,277235.99,2280361.52,19674.35
1952,265413.33,2028250.94,20527.75
1953,257997.03,1911007.73,21661.18
1954,263549.28,1981105.29,21167.95
1955,275365.24,2161437.65,22738.46
1956,286720.99,2149239.73,23908.02
1957,284699.9,2101774.32,24059.06
1958,271421.29,1973960.75,23176.95
1959,284948.43,2007104.98,24599.06
1960,275281.29,1964561.96,25014.76
1961,277867.82,1956424.36,25218.89
1962,285803.3,1940044.84,26082.86
1963,289088.33,2011323.05,26750.75
1964,297706.4,1971987.03,28192.72
1965,311621.71,2078233.59,29400.36
1966,337643.59,2432798.71,30493.8
1967,348204.46,2465114.73,31204.76
1968,356483.71,2482309.2,32257.42
1969,347207.15,2369431.18,32806.72
1970,339810.17,2287534.13,33135.16
1971,338113.3,2249634.74,32929.01
1972,350689.08,2353820.59,34360.11
1973,357415.17,2286219.68,34955.89
1974,363800.27,2521124.19,33657.14
1975,339622.26,2374373.15,31759.12
1976,342718.55,2441124.08,32620.87
1977,346555.09,2484059.82,32935.81
1978,355425.19,2594676.26,33549.3
1979,358634.26,2747326.56,33562.89
1980,355295.93,2845309.45,32412.65
1981,345738.61,2825683.48,32203.67
1982,354171.47,3270426.91,31323.6
1983,359153.77,3642532.57,30794.13
1984,383919.14,4237712.94,31707.66
1985,399871.69,4267003.65,32120.37
1986,406772.75,4442089.2,32393.53
1987,492286.31,5959956.18,32330.22
1988,633010.85,9569646.03,32787.75
1989,604493.61,8342360.78,32769.09
1990,617859.24,8689277.38,32345
1991,562533.81,7434027.3,31653.65
1992,628427.22,9402423.27,31174.4
1993,588918.94,7981308.04,30886.53
1994,600737.89,8096940.99,31370.93
1995,650576.51,8751287.8,31767.5
1996,694205.03,9692302.7,32165.54
1997,755445.72,1.13E+07,33115.04
1998,820069.19,1.29E+07,34492.85
1999,884646.81,1.47E+07,35508.51
2000,933907.62,1.61E+07,35799.48
2001,850040.41,1.33E+07,35499.77
2002,797357.37,1.22E+07,34066.83
2003,798225.19,1.28E+07,33367.52
2004,880360.11,1.55E+07,33743.75
2005,973587.68,1.81E+07,33687.58
2006,1012750.49,1.86E+07,33960.86
2007,1056904.81,2.04E+07,34815.58
2008,977920.96,1.84E+07,32816.6
2009,857904.31,1.58E+07,31165.76
2010,902867.78,1.71E+07,30840.04
2011,897151.23,1.62E+07,30458.05
2012,1021760.82,2.16E+07,30438.59
